gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
SLC67A1,0.4885156995204059,5.370613299465703,5.051784536967944,1.918554295708606e-6,0.07659060603898325,0.8318049507251608
HSPA8P15,0.18514432231187505,0.2233263542924105,3.93137021237923,1.5385266855861705e-4,1,-3.404241024269859
DEFA3,-1.0845117120154,5.590625143370966,-3.858687952931388,1.9971741664999792e-4,1,-3.653184082076934
DEFA1,-1.0235304941242038,4.744647103756742,-3.850158563421491,2.0588467580789937e-4,1,-3.6821713428411655
LAMP5,0.2775014755161315,1.1662430936237762,3.7467327732275484,2.9666999666836253e-4,1,-4.029825406787166
SCARNA17,0.3809333861897268,2.978025224633463,3.5980742226527163,4.958361137679908e-4,1,-4.516861751568007
CYP26B1,-0.45918651591905985,0.33843536991283013,-3.5942327913790115,5.023695371364976e-4,1,-4.529245545572211
RAD1P2,0.029762161992239997,0.013954694081103801,3.5500299390453414,5.836487618221296e-4,1,-4.671003708692219
DRP2,0.1428365944116383,0.10702593883561227,3.5473823549017,5.888918171341924e-4,1,-4.679451084652121
ZG16B,0.27468456440973577,0.8293552099881203,3.520921065526021,6.43795184437369e-4,1,-4.763607551685578
CBR3-AS1,0.25691697702145,1.4092723515560612,3.5023210930414144,6.85241069730042e-4,1,-4.822466509060886
ASMTL-AS1,0.3555478945334324,4.366346594755253,3.491812216719436,7.097573995088346e-4,1,-4.85561315935726
SLC67A1-AS,0.26807556812701955,0.4846204423453304,3.4777182654436585,7.439375635058357e-4,1,-4.899944563395571
OR7E55P,0.03242811448402848,0.040578949091841156,3.45417325602654,8.045207379319817e-4,1,-4.973687805649093
CISH,0.3199818293484297,5.508634448398807,3.397896838519213,9.686700004137366e-4,1,-5.1483359581771415
S100B,0.6686193543010479,2.202614495557542,3.3884543673634546,9.991223518737624e-4,1,-5.177415964696147
RPL7AP27,0.05040421553203655,0.054697767286891914,3.372295562918637,0.001053330743372251,1,-5.227030330726548
TPM2,0.3602771599196301,3.87761773620102,3.369374751094432,0.0010634192725056178,1,-5.235978221411733
ESPN,-0.531241981683427,2.311593807508891,-3.3504872213780743,0.0011308786782768866,1,-5.293690116211768
OLIG1,0.3643012086773835,4.291693371483816,3.341083077197506,0.0011659445668278448,1,-5.322327952705125
SIGLEC6,0.3418546514260858,1.8941923941995438,3.331761004171811,0.0012017086343271335,1,-5.350652034975377
RNF207,0.35508090486880917,1.5562597225290848,3.2933299559848206,0.0013602867922236743,1,-5.466747043178631
PLEKHN1,0.26738243548318824,0.7552017554350847,3.285461132277854,0.0013950838113855138,1,-5.4903835312858895
KANK2,-0.3000928526209657,1.527929094865666,-3.2671404973742817,0.0014793529585051272,1,-5.545237911294486
RPL22P2,-0.0873263244783978,0.1295543574325024,-3.2436297042039537,0.0015944737846558012,1,-5.615267522651276
TRMT2B-AS1,0.049389790416589044,0.050481183928938383,3.205882570771731,0.0017969459580787954,1,-5.726839822287708
FSTL4,0.13913491975566006,0.3072646245452829,3.1782150407579812,0.0019603137802076064,1,-5.807940698769953
DEFA4,-0.6066907303991973,1.3963193644526584,-3.166504597404073,0.0020335425320077488,1,-5.842093475290513
THBS1,-0.48151357494543806,2.9514076715320607,-3.163923460216341,0.0020500220144422576,1,-5.849607274692068
RPL17P9,0.12232718824003815,0.3011619258586495,3.140713221228963,0.0022038948604206506,1,-5.916946759027571
LAIR2,0.48213560944699985,1.2731216995903485,3.134925121621287,0.0022439061863407804,1,-5.93367604853877
