mirna,contrast,test,n_group_a,n_group_b,log2fc,pvalue,padj,direction
hsa-let-7a-3p,case_before_vs_control,welch_t,10,10,0.8240994832531756,0.010160346172417041,0.09113335837946333,up_in_case_before
hsa-let-7a-5p,case_before_vs_control,welch_t,10,10,0.7438489175549989,0.02710100626558744,0.1325915011718366,up_in_case_before
hsa-let-7c-5p,case_before_vs_control,welch_t,10,10,-0.6140423150691845,0.1726461089062078,0.30378585239691136,down_in_case_before
hsa-let-7d-5p,case_before_vs_control,welch_t,10,10,1.0831130409201162,0.003074101522543453,0.06451655111368132,up_in_case_before
hsa-let-7f-5p,case_before_vs_control,welch_t,10,10,1.3571342519861158,0.000874245691120778,0.041638924621490776,up_in_case_before
hsa-let-7i-5p,case_before_vs_control,welch_t,10,10,0.9898414985966717,0.0004407676660275059,0.03935373762503357,up_in_case_before
hsa-miR-1-3p,case_before_vs_control,welch_t,10,10,-1.6407324455179575,0.10697817379965109,0.24159105595460045,down_in_case_before
hsa-miR-100-5p,case_before_vs_control,welch_t,10,10,-1.130268356441876,0.004525327489678051,0.07104845184135838,down_in_case_before
hsa-miR-101-3p,case_before_vs_control,welch_t,10,10,0.22942531839570535,0.4308638697899456,0.5265698561521838,up_in_case_before
hsa-miR-10398-5p,case_before_vs_control,welch_t,10,10,-0.7334850036038107,0.15870990956169226,0.2936306933887967,down_in_case_before
hsa-miR-103a-3p,case_before_vs_control,welch_t,10,10,1.2907413018118827,0.0005187864643699747,0.03935373762503357,up_in_case_before
hsa-miR-10400-5p,case_before_vs_control,welch_t,10,10,-1.70540111559841,0.026682604963879537,0.1325915011718366,down_in_case_before
hsa-miR-10401-5p,case_before_vs_control,welch_t,10,10,-0.7569443903178495,0.07925695600798538,0.2129044026994226,down_in_case_before
hsa-miR-10526-3p,case_before_vs_control,welch_t,10,10,-0.9867571958548058,0.043943011533099374,0.16080985508891887,down_in_case_before
hsa-miR-11400,case_before_vs_control,welch_t,10,10,1.6600242651368857,0.0010792231841074197,0.041638924621490776,up_in_case_before
hsa-miR-1185-1-3p,case_before_vs_control,welch_t,10,10,0.7750438150596195,0.2994931080374933,0.42948766072192546,up_in_case_before
hsa-miR-1193,case_before_vs_control,welch_t,10,10,-0.749497243756459,0.1599566144784891,0.294034269757839,down_in_case_before
hsa-miR-12136,case_before_vs_control,welch_t,10,10,0.0989554455384134,0.8855202672534022,0.9138630439734505,up_in_case_before
hsa-miR-122-3p,case_before_vs_control,welch_t,10,10,-0.5359081440711175,0.35832059934053306,0.4562182230664418,down_in_case_before
hsa-miR-122-5p,case_before_vs_control,welch_t,10,10,-0.6647979829308319,0.31525186811090833,0.4422607816629083,down_in_case_before
hsa-miR-1226-5p,case_before_vs_control,welch_t,10,10,-1.5977557213911093,0.05033488709039601,0.1675735465371337,down_in_case_before
hsa-miR-124-3p,case_before_vs_control,welch_t,10,10,-1.3247325409424637,0.05744958336843494,0.1794171543417353,down_in_case_before
hsa-miR-1246,case_before_vs_control,welch_t,10,10,-0.7371252247718427,0.03591785267275239,0.14381089282197082,down_in_case_before
hsa-miR-1247-5p,case_before_vs_control,welch_t,10,10,-1.1872581933971158,0.060741186663277096,0.18485774410533054,down_in_case_before
hsa-miR-1250-5p,case_before_vs_control,welch_t,10,10,0.6020797365933592,0.33306089615286194,0.4422607816629083,up_in_case_before
hsa-miR-1255a,case_before_vs_control,welch_t,10,10,2.4531407537119105,0.0095269096225257,0.08879377484119656,up_in_case_before
hsa-miR-125a-5p,case_before_vs_control,welch_t,10,10,-0.6908825232669127,0.09887648313086751,0.23304770523809795,down_in_case_before
hsa-miR-125b-5p,case_before_vs_control,welch_t,10,10,-1.036599516555989,0.002810213772271491,0.06447278904461325,down_in_case_before
hsa-miR-126-5p,case_before_vs_control,welch_t,10,10,0.8887774485723448,0.016710373709462045,0.10834497736624032,up_in_case_before
hsa-miR-1268a,case_before_vs_control,welch_t,10,10,-1.4345839239573366,0.10404418745336454,0.23824321618399977,down_in_case_before
hsa-miR-1268b,case_before_vs_control,welch_t,10,10,-1.7404555194601017,0.05498244898582852,0.17644314215813858,down_in_case_before
hsa-miR-1269a,case_before_vs_control,welch_t,10,10,-0.6367813436703932,0.216882452392061,0.3515696587476611,down_in_case_before
hsa-miR-1271-5p,case_before_vs_control,welch_t,10,10,0.44467141297422463,0.6037857719439094,0.6818220596716019,up_in_case_before
hsa-miR-1273h-3p,case_before_vs_control,welch_t,10,10,0.6053802780665807,0.1225414307097167,0.259205544036688,up_in_case_before
hsa-miR-1275,case_before_vs_control,welch_t,10,10,-0.7077897705139113,0.5349949029268559,0.6232899601481827,down_in_case_before
hsa-miR-1277-3p,case_before_vs_control,welch_t,10,10,1.0342359139370152,0.07126296104614005,0.2000393235954002,up_in_case_before
hsa-miR-1277-5p,case_before_vs_control,welch_t,10,10,1.6812638614424578,0.021409449847480572,0.12338876168137354,up_in_case_before
hsa-miR-128-3p,case_before_vs_control,welch_t,10,10,0.5258203630432625,0.022305343914631966,0.12380939418250501,up_in_case_before
hsa-miR-129-5p,case_before_vs_control,welch_t,10,10,-1.8690972400041677,0.01602333012803483,0.10679236224997515,down_in_case_before
hsa-miR-1290,case_before_vs_control,welch_t,10,10,-0.6343555617880483,0.14766170958429597,0.28367217316274573,down_in_case_before
