mirna	target_gene	n_records	pmids	support_types	experiments	target_in_universe	target_in_disease_set	target_logFC	target_pvalue	target_fdr
hsa-let-7c-5p	HMGA2	8	17243163.0 // 17600087.0 // 18403645.0 // 21224353.0	Functional MTI	Immunocytochemistry//Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot // Luciferase reporter assay // Luciferase reporter assay//qRT-PCR//Western blot // Microarray//Northern blot//qRT-PCR//Western blot // qRT-PCR//Western blot	True	False	-0.1725113143817839	0.0039655743087913	0.0704332664513286
hsa-let-7c-5p	MYC	7	17877811.0	Functional MTI // Non-Functional MTI	Luciferase reporter assay // Western blot	True	False	-0.4817253622469599	0.0044416866705369	0.0732681976421973
hsa-let-7c-5p	IL6	6	23977098.0 // 31915680.0 // 34967707.0	Functional MTI	Luciferase reporter assay // Luciferase reporter assay//qRT-PCR//ELISA // Western blotting//Microarray//ELISA	True	False	1.0063562622027142	0.0095497553590027	0.1043760801378538
hsa-let-7c-5p	BCL2L1	3	20347499.0 // 22917031.0	Functional MTI // Non-Functional MTI	Luciferase reporter assay//qRT-PCR//Western blot	True	False	-0.1029851178940074	0.5026610386021304	0.9382498161576838
hsa-let-7c-5p	TRIM71	3	17890240.0	Functional MTI // Functional MTI (Weak)	Luciferase reporter assay // Reporter assay;Other	True	False	-0.0335668177104858	0.0976390526317478	0.4192323022492766
hsa-let-7c-5p	HSPA4	2	26923191.0	Functional MTI	Luciferase reporter assay	True	False	-0.0673357469649416	0.3754113721786619	0.8606508367839779
hsa-let-7c-5p	IL10	2	22835429.0	Functional MTI // Non-Functional MTI	Luciferase reporter assay//qRT-PCR	True	False	0.1108656238729982	0.3411741789470749	0.8122904993180728
hsa-let-7c-5p	MAP4K3	2	28099144.0	Functional MTI // Non-Functional MTI	Luciferase reporter assay//qRT-PCR//Western blot	True	False	-0.4020212132130701	0.0148263674807011	0.1325654213339069
hsa-let-7c-5p	MTOR	2	25311506.0	Functional MTI // Non-Functional MTI	Luciferase reporter assay	True	False	-0.5218349755528651	0.004112847127791	0.0716628206774605
hsa-let-7c-5p	PBX2	2	22964640.0	Functional MTI	Luciferase reporter assay//qRT-PCR//Western blot	True	False	-0.5644608627944478	0.0018676019631177	0.0528507323919409
hsa-let-7c-5p	RICTOR	2	25311506.0	Functional MTI // Non-Functional MTI	Luciferase reporter assay	True	False	-0.4670318528406217	0.0176605012602352	0.1467684682677888
hsa-let-7c-5p	TNFRSF10B	2	24120475.0	Functional MTI	qRT-PCR//Western blot	True	False	-0.2320460381793987	0.1696727716335789	0.5854642133342347
hsa-let-7c-5p	TRIB2	2	23850892.0	Functional MTI	Flow//GFP reporter assay//qRT-PCR//Western blot	True	False	-0.4776915432994408	0.009324334370402	0.1032041563179861
hsa-let-7c-5p	AGO1	1	23426184.0	Functional MTI	Immunohistochemistry//Immunoprecipitaion//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot	True	True	-0.8170685315639402	0.0005432627286138333	0.0366887068818403
hsa-let-7c-5p	CCND1	1	33982124.0	Functional MTI	ELISA//Immunofluorescence//Immunoprecipitaion (IP)//Luciferase reporter assay//qRT-PCR//Western blotting	True	False	-0.1043528072470814	0.4046685138696548	0.8745286444973699
hsa-let-7c-5p	CDC25A	1	25909324.0	Functional MTI	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	True	False	-0.1500560453670912	0.075341900874278	0.3552376395127329
hsa-let-7c-5p	CEBPB	1	23667114.0	Functional MTI	Luciferase reporter assay	True	False	0.2124938614767596	0.1211033017158462	0.4765351851912824
hsa-let-7c-5p	COPS6	1	21530537.0	Functional MTI	Western blot	True	True	-0.1630347480813642	0.0010187630455081	0.0439881144947594
hsa-let-7c-5p	COPS8	1	21530537.0	Functional MTI	Western blot	True	True	-0.276355106268999	0.0014593446843977	0.0483314051178672
hsa-let-7c-5p	CORO1C	1	32487167.0	Functional MTI	Luciferase reporter assay//Western blotting//Immunoprecipitaion (IP)//Immunohistochemistry (IHC)//RNA-seq//qRT-PCR	True	False	-0.276127228556965	0.1340519088926596	0.5080512300845685
hsa-let-7c-5p	DICER1	1	18700235.0	Non-Functional MTI	Western blot//Northern blot	True	False	-0.6698403683972932	0.0093446925136663	0.1032685392640375
hsa-let-7c-5p	GPS1	1	21530537.0	Functional MTI	Western blot	True	False	-0.218183941378818	0.0019532437176205	0.0535993055452945
hsa-let-7c-5p	IGF1R	1	23503464.0	Functional MTI	Luciferase reporter assay//qRT-PCR//Western blot	True	False	-0.6472046388250939	0.0109627746424683	0.1123237499058097
hsa-let-7c-5p	MPL	1	20445018.0	Non-Functional MTI	Luciferase reporter assay	True	False	-0.0611170011743348	0.5065928735491385	0.9418914786109386
hsa-let-7c-5p	NRAS	1	15766527.0	Functional MTI	Microarray//Northern blot//qRT-PCR//Western blot	True	False	-0.2581903273529737	0.0205920247686835	0.1600221732970717
hsa-let-7c-5p	PBX3	1	32487167.0	Functional MTI	Luciferase reporter assay//Western blotting//Immunoprecipitaion (IP)//RNA-seq//Immunofluorescence//In situ hybridization	True	False	-0.2058621870203265	0.0385954939617965	0.2361623041133644
hsa-let-7c-5p	SNHG16	1	32059338.0	Functional MTI	Luciferase reporter assay//Western blotting//qRT-PCR	True	False	-0.0384207237277786	0.7011646636830535	1.0
hsa-let-7c-5p	TGFBR1	1	19841744.0	Functional MTI	qRT-PCR//Luciferase reporter assay//Western blot	True	False	-0.5358877007600625	0.0058961351595592	0.0833690495649462
hsa-let-7c-5p	WNT9A	1	33982124.0	Functional MTI	ELISA//Immunofluorescence//Immunoprecipitaion (IP)//Luciferase reporter assay//qRT-PCR//Western blotting	True	False	-0.0210510623361953	0.4770070697261345	0.9087930025602662
hsa-miR-1-3p	GJA1	11	17062625.0 // 17401374.0 // 23352489.0 // 23922949.0 // 28112313.0	Functional MTI // Functional MTI (Weak) // Non-Functional MTI	Luciferase reporter assay // Reporter assay // Reporter assay;Other // Western blot // qRT-PCR//Western blot	True	False	-0.0214571117956315	0.2111095765745872	0.6266428299016598
hsa-miR-1-3p	MET	9	18593903.0 // 18818206.0 // 19710019.0 // 25874496.0 // 27247259.0	Functional MTI	Luciferase reporter assay // Luciferase reporter assay//Western blot // Luciferase reporter assay//qRT-PCR//Western blot // Microarray//qRT-PCR//Western blot	True	False	-0.0550575126162994	0.374146582229811	0.8589101738312198
hsa-miR-1-3p	TAGLN2	9	20144220.0 // 21304530.0 // 21701775.0 // 21745735.0 // 26414725.0	Functional MTI // Non-Functional MTI	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot // Luciferase reporter assay // Reporter assay;Western blot;qRT-PCR // Western blot;qRT-PCR;Microarray	True	False	0.066127440650173	0.3582292725329673	0.8369329644510022
