gene_symbol	ensembl_id	exposure_id	exposure_trait
ATP2C2	ENSG00000064270	eqtl-a-ENSG00000064270	ENSG00000064270
CBR3-AS1	ENSG00000236830	eqtl-a-ENSG00000236830	ENSG00000236830
CDC42BPA	ENSG00000143776	eqtl-a-ENSG00000143776	ENSG00000143776
CISH	ENSG00000114737	eqtl-a-ENSG00000114737	ENSG00000114737
CIT	ENSG00000122966	eqtl-a-ENSG00000122966	ENSG00000122966
CNTNAP2	ENSG00000174469	eqtl-a-ENSG00000174469	ENSG00000174469
CYP26B1	ENSG00000003137	eqtl-a-ENSG00000003137	ENSG00000003137
DEFA3	ENSG00000239839	eqtl-a-ENSG00000239839	ENSG00000239839
DPYSL4	ENSG00000151640	eqtl-a-ENSG00000151640	ENSG00000151640
FADS2	ENSG00000134824	eqtl-a-ENSG00000134824	ENSG00000134824
FAM86FP	ENSG00000164845	eqtl-a-ENSG00000164845	ENSG00000164845
FANK1	ENSG00000203780	eqtl-a-ENSG00000203780	ENSG00000203780
HGD	ENSG00000113924	eqtl-a-ENSG00000113924	ENSG00000113924
IGSF9B	ENSG00000080854	eqtl-a-ENSG00000080854	ENSG00000080854
IMMP2L	ENSG00000184903	eqtl-a-ENSG00000184903	ENSG00000184903
LAMP5	ENSG00000125869	eqtl-a-ENSG00000125869	ENSG00000125869
LINC02432	ENSG00000248810	eqtl-a-ENSG00000248810	ENSG00000248810
LINC02772	ENSG00000271736	eqtl-a-ENSG00000271736	ENSG00000271736
LOC124908237	ENSG00000273730	eqtl-a-ENSG00000273730	ENSG00000273730
OLIG1	ENSG00000184221	eqtl-a-ENSG00000184221	ENSG00000184221
PLEKHN1	ENSG00000187583	eqtl-a-ENSG00000187583	ENSG00000187583
PRDX1P1	ENSG00000214121	eqtl-a-ENSG00000214121	ENSG00000214121
PRSS21	ENSG00000007038	eqtl-a-ENSG00000007038	ENSG00000007038
SAMD4A-AS1	ENSG00000285774	eqtl-a-ENSG00000285774	ENSG00000285774
SCARNA17	ENSG00000251992	eqtl-a-ENSG00000251992	ENSG00000251992
SDK2	ENSG00000069188	eqtl-a-ENSG00000069188	ENSG00000069188
SIAH2	ENSG00000181788	eqtl-a-ENSG00000181788	ENSG00000181788
SLC2A1-DT	ENSG00000227533	eqtl-a-ENSG00000227533	ENSG00000227533
SLC67A1	ENSG00000110628	eqtl-a-ENSG00000110628	ENSG00000110628
THBS1	ENSG00000137801	eqtl-a-ENSG00000137801	ENSG00000137801
TNNT3	ENSG00000130595	eqtl-a-ENSG00000130595	ENSG00000130595
TRGV5	ENSG00000211697	eqtl-a-ENSG00000211697	ENSG00000211697
