gene_symbol	ensembl_id	exposure_id	exposure_trait	eqtl_catalogue_dataset_id
ABHD1	ENSG00000143994	eqtlcat-QTD000286-ENSG00000143994	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
ATOH8	ENSG00000168874	eqtlcat-QTD000286-ENSG00000168874	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
CBR3-AS1	ENSG00000236830	eqtlcat-QTD000286-ENSG00000236830	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
DEFA3	ENSG00000239839	eqtlcat-QTD000286-ENSG00000239839	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
DGKK	ENSG00000274588	eqtlcat-QTD000286-ENSG00000274588	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
FANK1	ENSG00000203780	eqtlcat-QTD000286-ENSG00000203780	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
HGD	ENSG00000113924	eqtlcat-QTD000286-ENSG00000113924	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
HPCAL1	ENSG00000115756	eqtlcat-QTD000286-ENSG00000115756	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
HSPA8P15	ENSG00000219395	eqtlcat-QTD000286-ENSG00000219395	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
LAMP5	ENSG00000125869	eqtlcat-QTD000286-ENSG00000125869	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
LOC100422317	ENSG00000267430	eqtlcat-QTD000286-ENSG00000267430	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
LOC100422627	ENSG00000234841	eqtlcat-QTD000286-ENSG00000234841	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
MXI1	ENSG00000119950	eqtlcat-QTD000286-ENSG00000119950	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
NUDT19P5	ENSG00000251073	eqtlcat-QTD000286-ENSG00000251073	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
OLIG1	ENSG00000184221	eqtlcat-QTD000286-ENSG00000184221	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
PRTN3	ENSG00000196415	eqtlcat-QTD000286-ENSG00000196415	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
RAP1GAP	ENSG00000076864	eqtlcat-QTD000286-ENSG00000076864	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
RNU6-33P	ENSG00000207524	eqtlcat-QTD000286-ENSG00000207524	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
RPL22P2	ENSG00000241081	eqtlcat-QTD000286-ENSG00000241081	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
RPL39P15	ENSG00000231414	eqtlcat-QTD000286-ENSG00000231414	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
RPS2P35	ENSG00000238172	eqtlcat-QTD000286-ENSG00000238172	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
S100B	ENSG00000160307	eqtlcat-QTD000286-ENSG00000160307	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
SAMD4A-AS1	ENSG00000285774	eqtlcat-QTD000286-ENSG00000285774	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
SLC39A8	ENSG00000138821	eqtlcat-QTD000286-ENSG00000138821	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
SLC67A1	ENSG00000110628	eqtlcat-QTD000286-ENSG00000110628	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
TMEM176B	ENSG00000106565	eqtlcat-QTD000286-ENSG00000106565	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
TP53TG3D	ENSG00000205456	eqtlcat-QTD000286-ENSG00000205456	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
TPRG1L	ENSG00000158109	eqtlcat-QTD000286-ENSG00000158109	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
TPSAB1	ENSG00000172236	eqtlcat-QTD000286-ENSG00000172236	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
TRGV5	ENSG00000211697	eqtlcat-QTD000286-ENSG00000211697	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
TRIM56	ENSG00000169871	eqtlcat-QTD000286-ENSG00000169871	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	QTD000286
