author,year,sample_size,population,n_exposures
Vosa U,2018,31684,European,5516
Vosa U,2018,31470,European,2037
Vosa U,2018,5502,European,1763
Vosa U,2018,14263,European,880
Vosa U,2018,26609,European,673
Vosa U,2018,9188,European,627
Vosa U,2018,3831,European,603
Vosa U,2018,31644,European,455
Vosa U,2018,4339,European,336
Vosa U,2018,4994,European,325
Vosa U,2018,26395,European,293
Vosa U,2018,30935,European,292
Vosa U,2018,25690,European,276
Vosa U,2018,5164,European,244
Vosa U,2018,4169,European,207
Vosa U,2018,8269,European,203
Vosa U,2018,26196,European,193
Vosa U,2018,31256,European,188
Vosa U,2018,22495,European,178
Vosa U,2018,6421,European,173
Vosa U,2018,4677,European,159
Vosa U,2018,26181,European,133
Vosa U,2018,25476,European,127
Vosa U,2018,17261,European,124
Vosa U,2018,4656,European,123
Vosa U,2018,4868,European,113
Vosa U,2018,4530,European,108
Vosa U,2018,30765,European,107
Vosa U,2018,30721,European,102
Vosa U,2018,21121,European,98
Vosa U,2018,11496,European,92
Vosa U,2018,31300,European,84
Vosa U,2018,4022,European,82
Vosa U,2018,31430,European,75
Vosa U,2018,28917,European,59
Vosa U,2018,29432,European,57
Vosa U,2018,26569,European,56
Vosa U,2018,10577,European,56
Vosa U,2018,25262,European,50
Vosa U,2018,30551,European,48
Vosa U,2018,31176,European,47
Vosa U,2018,4360,European,43
Vosa U,2018,31086,European,42
Vosa U,2018,30859,European,41
Vosa U,2018,17435,European,40
Vosa U,2018,10736,European,40
Vosa U,2018,26410,European,38
Vosa U,2018,29940,European,37
Vosa U,2018,25650,European,35
Vosa U,2018,20202,European,32
Vosa U,2018,30895,European,32
Vosa U,2018,29094,European,31
Vosa U,2018,25860,European,31
Vosa U,2018,23628,European,30
Vosa U,2018,31050,European,30
Vosa U,2018,29218,European,28
Vosa U,2018,20824,European,27
Vosa U,2018,28703,European,26
Vosa U,2018,20028,European,25
Vosa U,2018,7931,European,24
Vosa U,2018,24941,European,24
Vosa U,2018,30131,European,24
Vosa U,2018,5311,European,22
Vosa U,2018,7444,European,22
Vosa U,2018,26022,European,22
Vosa U,2018,13344,European,22
Vosa U,2018,25646,European,22
