gene_symbol	ensembl_id	exposure_id	exposure_trait	outcome_id	n_tophits	n_after_f	n_after_cap	n_after_clump	n_after_outcome_join	n_after_harmonise	nsnp_used	status
ABHD1	ENSG00000143994	eqtlcat-QTD000286-ENSG00000143994	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	86	86	86	1	1	1	1	mr_single_snp_only
SLC67A1	ENSG00000110628	eqtlcat-QTD000286-ENSG00000110628	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	20	20	20	1	1	1	1	mr_single_snp_only
TMEM176B	ENSG00000106565	eqtlcat-QTD000286-ENSG00000106565	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	4	4	4	1	1	1	1	mr_single_snp_only
TPSAB1	ENSG00000172236	eqtlcat-QTD000286-ENSG00000172236	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	28	28	28	1	1	1	1	mr_single_snp_only
ATOH8	ENSG00000168874	eqtlcat-QTD000286-ENSG00000168874	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
CBR3-AS1	ENSG00000236830	eqtlcat-QTD000286-ENSG00000236830	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
DEFA3	ENSG00000239839	eqtlcat-QTD000286-ENSG00000239839	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
DGKK	ENSG00000274588	eqtlcat-QTD000286-ENSG00000274588	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
FANK1	ENSG00000203780	eqtlcat-QTD000286-ENSG00000203780	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
HGD	ENSG00000113924	eqtlcat-QTD000286-ENSG00000113924	eQTL Catalogue GTEx QTD000286 (tibial nerve) N=532	finn-b-G6_MIGRAINE	0	0	0	0	0	0	0	no_tophits
